Time,Time Code,Country Name,Country Code,"Prevalence of obesity, female (% of female population ages 18+) [SH.STA.OB18.FE.ZS]","Prevalence of obesity, male (% of male population ages 18+) [SH.STA.OB18.MA.ZS]",Male & Female Obesity Rate
2016,YR2016,"Korea, Dem. People's Rep.",PRK,7.3,6.1,6.7
2016,YR2016,"Korea, Rep.",KOR,4.8,4.4,4.6
2016,YR2016,Kosovo,XKX,..,..,#VALUE!
2016,YR2016,Kuwait,KWT,45.6,33.3,39.45
2016,YR2016,Kyrgyz Republic,KGZ,18.6,14,16.3
2016,YR2016,Lao PDR,LAO,6.7,3.7,5.2
2016,YR2016,Latvia,LVA,25.1,21.6,23.35
2016,YR2016,Lebanon,LBN,37,27.4,32.2
2016,YR2016,Lesotho,LSO,26.7,4.6,15.65
2016,YR2016,Liberia,LBR,14.2,5.5,9.85
2016,YR2016,Libya,LBY,39.6,25,32.3
2016,YR2016,Liechtenstein,LIE,..,..,#VALUE!
2016,YR2016,Lithuania,LTU,27.8,24.2,26
2016,YR2016,Luxembourg,LUX,20.7,24.5,22.6
2016,YR2016,"Macao SAR, China",MAC,..,..,#VALUE!
2016,YR2016,Madagascar,MDG,7.5,3,5.25
2016,YR2016,Malawi,MWI,9.1,2.2,5.65
2016,YR2016,Malaysia,MYS,17.9,13,15.45
2016,YR2016,Maldives,MDV,11.4,5.8,8.6
2016,YR2016,Mali,MLI,12.4,4.6,8.5
2016,YR2016,Malta,MLT,28.5,29.2,28.85
2016,YR2016,Marshall Islands,MHL,57.3,48.4,52.85
2016,YR2016,Mauritania,MRT,18.5,6.6,12.55
2016,YR2016,Mauritius,MUS,15.7,5.6,10.65
2016,YR2016,Mexico,MEX,32.8,24.3,28.55
2016,YR2016,"Micronesia, Fed. Sts.",FSM,51.5,40.1,45.8
2016,YR2016,Moldova,MDA,21.1,16.2,18.65
2016,YR2016,Monaco,MCO,..,..,#VALUE!
2016,YR2016,Mongolia,MNG,23.2,17.5,20.35
2016,YR2016,Montenegro,MNE,23.1,23.3,23.2
2016,YR2016,Morocco,MAR,32.2,19.4,25.8
2016,YR2016,Mozambique,MOZ,10.5,3.3,6.9
2016,YR2016,Myanmar,MMR,7.3,4,5.65
2016,YR2016,Namibia,NAM,25.4,7.5,16.45
2016,YR2016,Nauru,NRU,63.3,58.7,61
2016,YR2016,Nepal,NPL,5.4,2.7,4.05
2016,YR2016,Netherlands,NLD,20,20.8,20.4
2016,YR2016,New Caledonia,NCL,..,..,#VALUE!
2016,YR2016,New Zealand,NZL,31.4,30.1,30.75
2016,YR2016,Nicaragua,NIC,29,17.9,23.45
2016,YR2016,Niger,NER,8.7,2.5,5.6
2016,YR2016,Nigeria,NGA,13.1,4.6,8.85
2016,YR2016,North Macedonia,MKD,22.1,22.6,22.35
2016,YR2016,Northern Mariana Islands,MNP,..,..,#VALUE!
2016,YR2016,Norway,NOR,22.5,23.6,23.05
2016,YR2016,Oman,OMN,33.7,22.9,28.3
2016,YR2016,Pakistan,PAK,11.3,6,8.65
2016,YR2016,Palau,PLW,58.8,51.8,55.3
2016,YR2016,Panama,PAN,27.6,17.8,22.7
2016,YR2016,Papua New Guinea,PNG,25.8,16.6,21.2
2016,YR2016,Paraguay,PRY,23.4,17.1,20.25
2016,YR2016,Peru,PER,24.2,15.2,19.7
2016,YR2016,Philippines,PHL,7.5,5.2,6.35
2016,YR2016,Poland,POL,22.2,23.7,22.95
2016,YR2016,Portugal,PRT,21.2,20.3,20.75
2016,YR2016,Puerto Rico,PRI,..,..,#VALUE!
2016,YR2016,Qatar,QAT,43.1,32.5,37.8
2016,YR2016,Romania,ROU,21.6,23.4,22.5
2016,YR2016,Russian Federation,RUS,26.9,18.1,22.5
2016,YR2016,Rwanda,RWA,9.3,1.9,5.6
2016,YR2016,Samoa,WSM,55,39.9,47.45
2016,YR2016,San Marino,SMR,..,..,#VALUE!
2016,YR2016,Sao Tome and Principe,STP,16.9,7.2,12.05
2016,YR2016,Saudi Arabia,SAU,42.3,30.8,36.55
2016,YR2016,Senegal,SEN,12.9,4,8.45
2016,YR2016,Serbia,SRB,21.8,21.1,21.45
2016,YR2016,Seychelles,SYC,20.5,7.6,14.05
2016,YR2016,Sierra Leone,SLE,13.3,3.8,8.55
2016,YR2016,Singapore,SGP,6.3,5.8,6.05
2016,YR2016,Sint Maarten (Dutch part),SXM,..,..,#VALUE!
2016,YR2016,Slovak Republic,SVK,19.9,21,20.45
2016,YR2016,Slovenia,SVN,21,19.4,20.2
2016,YR2016,Solomon Islands,SLB,27.1,17.9,22.5
2016,YR2016,Somalia,SOM,12.3,3.9,8.1
2016,YR2016,South Africa,ZAF,39.6,15.4,27.5
2016,YR2016,South Sudan,SSD,..,..,#VALUE!
2016,YR2016,Spain,ESP,22.8,24.6,23.7
2016,YR2016,Sri Lanka,LKA,7.3,2.9,5.1
2016,YR2016,St. Kitts and Nevis,KNA,30.1,15.3,22.7
2016,YR2016,St. Lucia,LCA,27,12,19.5
2016,YR2016,St. Martin (French part),MAF,..,..,#VALUE!
2016,YR2016,St. Vincent and the Grenadines,VCT,31,16.6,23.8
2016,YR2016,Sudan,SDN,..,..,#VALUE!
2016,YR2016,Suriname,SUR,33.7,18.9,26.3
2016,YR2016,Sweden,SWE,18.1,23.1,20.6
2016,YR2016,Switzerland,CHE,16.9,22.2,19.55
2016,YR2016,Syrian Arab Republic,SYR,34.8,20.9,27.85
2016,YR2016,Tajikistan,TJK,16.7,11.6,14.15
2016,YR2016,Tanzania,TZA,12.7,4,8.35
2016,YR2016,Thailand,THA,12.7,7,9.85
2016,YR2016,Timor-Leste,TLS,4.9,2.6,3.75
2016,YR2016,Togo,TGO,12.5,3.9,8.2
2016,YR2016,Tonga,TON,54.5,41.4,47.95
2016,YR2016,Trinidad and Tobago,TTO,26,10.8,18.4
2016,YR2016,Tunisia,TUN,34.3,19.1,26.7
2016,YR2016,Turkiye,TUR,39.2,24.4,31.8
2016,YR2016,Turkmenistan,TKM,20.9,15.9,18.4
2016,YR2016,Turks and Caicos Islands,TCA,..,..,#VALUE!
2016,YR2016,Tuvalu,TUV,56.2,47,51.6
2016,YR2016,Uganda,UGA,8.6,1.8,5.2
2016,YR2016,Ukraine,UKR,25.7,22,23.85
