Time,Time Code,Country Name,Country Code,Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],"Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",GDP (current US$) [NY.GDP.MKTP.CD],Male & Female Obesity Rate,Region,,,,
2016,YR2016,Djibouti,DJI,68.82740021,55.1,63.335,2604955229,13.45,"Middle East, North Africa, Afghanistan & Pakistan",,,,
2016,YR2016,Dominica,DMA,424.1575623,27.8,71.189,612711111.1,27.75,Latin America & Caribbean,,,,
2016,YR2016,Dominican Republic,DOM,328.3652649,31.3,72.889,75552902636,27.55,Latin America & Caribbean,,,,
2016,YR2016,Ecuador,ECU,449.0386963,12.5,76.094,97671433000,19.8,Latin America & Caribbean,,,,
2016,YR2016,"Egypt, Arab Rep.",EGY,142.618454,20.5,70.437,3.32442E+11,31.9,"Middle East, North Africa, Afghanistan & Pakistan",,,,
2016,YR2016,El Salvador,SLV,339.9787598,12,70.908,24191430000,23.9,Latin America & Caribbean,,,,
2016,YR2016,Equatorial Guinea,GNQ,213.1179352,61.3,61.081,11240808848,8.2,Sub-Saharan Africa,,,,
2016,YR2016,Eritrea,ERI,26.00592422,31.4,66.242,..,4.8,Sub-Saharan Africa,,,,
2016,YR2016,Estonia,EST,1226.085938,2.3,77.64146341,24561027788,21.05,Europe & Central Asia,,,,
2016,YR2016,Eswatini,SWZ,226.4177094,52,56.228,3724180911,15.8,Sub-Saharan Africa,,,,
2016,YR2016,Ethiopia,ETH,24.34373283,46,64.162,74296766562,4.4,Sub-Saharan Africa,,,,
2016,YR2016,Faroe Islands,FRO,..,..,81.99268293,2813278869,..,Europe & Central Asia,,,,
2016,YR2016,Fiji,FJI,175.9163513,17,66.657,4930213644,30.2,East Asia & Pacific,,,,
2016,YR2016,Finland,FIN,4108.739746,1.9,81.42926829,2.38778E+11,22.15,Europe & Central Asia,,,,
2016,YR2016,France,FRA,4264.145996,3.2,82.57317073,2.47041E+12,21.55,Europe & Central Asia,,,,
2016,YR2016,French Polynesia,PYF,..,..,82.555,5497036477,..,East Asia & Pacific,,,,
2016,YR2016,Gabon,GAB,207.5027313,32.3,66.583,14023890265,14.95,Sub-Saharan Africa,,,,
2016,YR2016,"Gambia, The",GMB,20.77086067,42.3,63.386,1484578886,10.2,Sub-Saharan Africa,,,,
2016,YR2016,Georgia,GEO,319.3100891,8.7,73.136,15444548902,21.5,Europe & Central Asia,,,,
2016,YR2016,Germany,DEU,4746.775391,3.3,80.9902439,3.53778E+12,22.3,Europe & Central Asia,,,,
2016,YR2016,Ghana,GHA,64.86400604,36.4,63.522,56144179398,10.55,Sub-Saharan Africa,,,,
2016,YR2016,Gibraltar,GIB,..,..,82.741,..,..,Europe & Central Asia,,,,
2016,YR2016,Greece,GRC,1513.259155,3.6,81.38780488,1.93097E+11,24.8,Europe & Central Asia,,,,
2016,YR2016,Greenland,GRL,..,..,71.83853659,2707139544,..,Europe & Central Asia,,,,
2016,YR2016,Grenada,GRD,409.2784119,16.1,75.01,1061640741,21.15,Latin America & Caribbean,,,,
2016,YR2016,Guam,GUM,..,..,76.449,5901000000,..,East Asia & Pacific,,,,
2016,YR2016,Guatemala,GTM,246.4538269,22.5,71.215,66053403364,20.75,Latin America & Caribbean,,,,
2016,YR2016,Guinea,GIN,38.46130753,70.2,58.49,8595955222,7.6,Sub-Saharan Africa,,,,
2016,YR2016,Guinea-Bissau,GNB,56.60805511,53.4,60.619,1245074264,9.35,Sub-Saharan Africa,,,,
2016,YR2016,Guyana,GUY,235.916626,29.5,68.069,4482697337,19.9,Latin America & Caribbean,,,,
2016,YR2016,Haiti,HTI,60.06819153,48.7,63.325,14069277526,22.4,Latin America & Caribbean,,,,
2016,YR2016,Honduras,HND,177.8835144,16.6,71.615,21717604952,21.25,Latin America & Caribbean,,,,
2016,YR2016,"Hong Kong SAR, China",HKG,..,..,84.21146341,3.2086E+11,..,East Asia & Pacific,,,,
2016,YR2016,Hungary,HUN,914.1932373,4,76.06341463,1.28984E+11,26.4,Europe & Central Asia,,,,
2016,YR2016,Iceland,ISL,5053.517578,2,82.20487805,20793168031,21.8,Europe & Central Asia,,,,
2016,YR2016,India,IND,59.72652817,34.7,69.709,2.2948E+12,3.9,South Asia,,,,
2016,YR2016,Indonesia,IDN,106.4002152,21.5,69.733,9.31877E+11,6.85,East Asia & Pacific,,,,
2016,YR2016,"Iran, Islamic Rep.",IRN,444.4397278,13.5,76.155,4.59043E+11,25.75,"Middle East, North Africa, Afghanistan & Pakistan",,,,
2016,YR2016,Iraq,IRQ,199.8855133,25.9,68.683,1.66744E+11,30.2,"Middle East, North Africa, Afghanistan & Pakistan",,,,
2016,YR2016,Ireland,IRL,4726.312988,3.1,81.65365854,3.05733E+11,25.3,Europe & Central Asia,,,,
2016,YR2016,Isle of Man,IMN,..,..,80.391,6846377563,..,Europe & Central Asia,,,,
2016,YR2016,Israel,ISR,2783.824951,3.1,82.40731707,3.21941E+11,26.05,"Middle East, North Africa, Afghanistan & Pakistan",,,,
2016,YR2016,Italy,ITA,2699.73291,2.9,83.24390244,1.88711E+12,19.8,Europe & Central Asia,,,,
2016,YR2016,Jamaica,JAM,285.6094971,17.6,72.052,14077096677,24.35,Latin America & Caribbean,,,,
2016,YR2016,Japan,JPN,4194.228027,2,83.98487805,5.00368E+12,4.25,East Asia & Pacific,,,,
2016,YR2016,Jordan,JOR,278.1337891,14.7,75.55,39892551127,35.65,"Middle East, North Africa, Afghanistan & Pakistan",,,,
2016,YR2016,Kazakhstan,KAZ,255.8404999,8.8,72.549,1.37278E+11,20.8,Europe & Central Asia,,,,
